unique_id,p(laugh),p(drum),p(pik),overlap,truth
273072621,0.002214452736,0,0.9977855473,0.4,pik
561220301,0,0,1,0.4,pik
309454251,1,0,0,0.4,laugh
239810171,0.06263258389,1.20E-12,0.9373674161,0.4,pik
347229281,1,0,0,0.4,laugh
533570501,6.64E-12,0.8337001744,0.1662998256,0.4,drum
150354041,6.91E-24,0.9999902499,9.75E-06,0.4,drum
570770731,0,1,0,0.4,drum
347858241,0.9999999969,0,3.09E-09,0.4,laugh
617342193,0,0.5,0.5,0.4,drum
618172651,1,0,0,0.4,laugh
104357441,1,2.58E-12,1.01E-17,0.4,laugh
311688651,1,0,3.94E-28,0.4,laugh
601652861,0.7692307715,1.73E-13,0.2307692285,0.4,laugh
323641781,1,0,1.52E-32,0.4,laugh
434372741,0,0,1,0.4,pik
318540001,3.24E-35,0.857081163,0.142918837,0.4,drum
616122737,0.1041551806,0.8955943641,0.0002504553217,0.4,drum
490910681,0,0,1,0.4,pik
565879421,1.41E-25,0,1,0.4,laugh
520350001,0,0,1,0.4,pik
220759221,0.1029780745,0.3376337882,0.5593881373,0.4,drum
443490761,0,1,0,0.4,drum
323237621,1,0,2.97E-16,0.4,laugh
401144841,0,1,0,0.4,drum
392495311,6.04E-32,0,1,0.4,pik
181737771,2.55E-35,0,1,0.4,pik
324141031,0.005333120913,0.2578010682,0.7368658109,0.4,drum
279260991,0.374999996,0,0.625000004,0.4,laugh
303711261,8.20E-21,0.6215081291,0.3784918709,0.4,drum
614563468,0,0.8421052681,0.1578947319,0.4,drum
429950981,1,0,7.58E-25,0.4,laugh
147890801,1.28E-09,0.2960165764,0.7039834223,0.4,drum
436170191,1.37E-08,0.6683486941,0.3316512922,0.4,drum
618030099,1.12E-33,0,1,0.4,pik
464790091,1,0,0,0.4,laugh
350330041,0.6952590104,0.0522505996,0.25249039,0.4,pik
616774892,1,0,1.20E-19,0.4,laugh
155599071,0,1,0,0.4,drum
505559401,2.00E-08,0,0.99999998,0.4,pik
408109331,6.78E-10,0,0.9999999993,0.4,pik
356095091,0.0004908106737,0,0.9995091893,0.4,pik
445344591,1,0,0,0.4,laugh
349695741,1,0,2.40E-37,0.4,laugh
532778151,2.13E-19,2.89E-25,1,0.4,pik
366742991,0,0,1,0.4,pik
473274261,1,3.54E-33,0,0.4,laugh
612950835,1.00E-21,1.57E-09,0.9999999984,0.4,pik
611406572,1.38E-06,0,0.9999986175,0.4,pik
211006261,0,1,2.00E-27,0.4,drum
613574951,0.01438310273,6.38E-17,0.9856168973,0.4,pik
462696961,1,0,0,0.4,laugh
334233671,1,0,0,0.4,laugh
90534411,1,0,3.21E-35,0.4,laugh
609014861,0.75,0,0.25,0.4,laugh
367317641,0.9999677018,0,3.23E-05,0.4,laugh
82665391,4.60E-36,3.15E-11,1,0.4,pik
613508440,1,0,0,0.4,laugh
599433361,1,0,0,0.4,laugh
618381365,0,0,1,0.4,pik
369261521,3.50E-36,0,1,0.4,pik
224559801,0.1994084464,0.6197379495,0.1808536042,0.4,drum
616587785,0.03229278445,0.6773216597,0.2903855559,0.4,drum
376246401,1,0,7.85E-25,0.4,laugh
462975991,1,0,2.05E-36,0.4,laugh
222959451,0.06497720879,1.72E-22,0.9350227912,0.4,pik
228466501,0.2800907737,0.3984808152,0.3214284112,0.4,laugh
